title,
990 k Ex - Life Hunter 
A Returner's Magic Should be Special 
Above All Gods 
Apotheosis 
Chronicles of Heavenly Demon
Da Xiang Wu Xing 
DICE: The Cube That Changes Everything 
Director Kim 
Dominate the Three Realm 
Duke Pendragon
Dungeon and Artifacts 
Eleceed 
Fist Demon of Mount Hua
God of Blackfield 
God of Martial Arts
Hardcore Leveling Warrior 
Heavenly Demon Instructor
Hero Has Return 
Hero? I Quit a Long Time Ago 
How to be God 
How to Fight 
I Am the Sorcerer King 
I Grow Stronger by Eating!
I Reincarnated as the Crazed Heir
Infinite Leveling: Murim
Kill the Hero 
Legend of the Nothern Blade
Level 999 no Murabito 
Lightning Degree
Limit Breaker
Martial Art Reign
Martial Legacy 
Martial Movement Upheavel 
Martial Peak 
Max Level Returner 
Mercenary Enrollment
Moto Shogun No Undead Knight 
Murim Login
Nano Machine
Omniscient Reader's Viewpoint 
Overgeared
Path of the Sword 
Peerless Battle Spirit 
Poison Dragon: The Legend of an Asura
Ranker Who Lived a Second Time 
Ranker's Return
Reality Quest
Rebirth of the Urban Immortal Cultivator 
Reborn 80000 Years 
Reformation of the Deadbeat Noble 
Regressor Instruction Manual
Reincarnation of the Murim Clan's Former Ranker
Reincarnation of the Suicide Battle God 
Return of the 8 th Class Magician
Return of the Flowery 
Return of the Frozen Player
Return of the Legend
Return of the Legendary Spear Knight
Reverse Villain 
Shark
Shuumatsu No Walkure 
Skeleton Soldier Couldn't Protect the Dungeon
Solo Leveling 
Solo Max Level Newbie 
Solo Spell Caster
Spirit Sword Sovereign 
SSS Class Suicide Hunter
Strong Gale Mad Dragon 
Strongest Abandon Son 
Study Group
Supernatural Investigation Department 
Survival Story of a Sword King in a Fantasy World 
Taming Master 
Terror Man 
The Beginning After the End 
The Dark Magician Transmigrates After 66666 Years0
The Descent of the Demonic Master
The Gamer 
The Great Mage Returns After 4000 Years 
The Heavenly Demon Destroy the Lich King's Murim 
The Last Human
The Legendary Moonlight Sculptor 
The Max Level Hero Has Return 
The Rebirth of An 8 th Circled Wizard 
The Return of the Crazy Demon
The Scholar's Reincarnation
The Second Coming of Gluttony
The Story of a Low Rank Soldier Becoming a Monarch
The Tutorial is Too Hard
The Tutorial Tower of the Advance Player
The Undefeatable Swordsman
Tomb Raider King 
Tower of God 
Ultra Alter
Versatile Mage 
Volcanic Age 
Wandering Warrior of Wudang
Weak Hero 
Weak Teacher
Worn and Torn Newbie 
